State,Crop,Season,Rainfall,Area,Production,Yield
Mizoram,Sugarcane,Kharif,1046.0,1864.0,158843.4,85.22
Punjab,Barley,Rabi,427.9,3376.5,11865.3,3.51
Himachal Pradesh,Maize,Kharif,841.3,2165.4,9958.1,4.6
Maharashtra,Groundnut,Kharif,550.3,3836.0,7986.7,2.08
Kerala,Mustard,Rabi,331.6,4143.7,6829.5,1.65
Gujarat,Soybean,Kharif,765.7,1414.4,3273.2,2.31
Uttarakhand,Groundnut,Kharif,707.3,4845.3,10993.7,2.27
Haryana,Barley,Rabi,437.5,3400.7,13092.6,3.85
Bihar,Barley,Rabi,439.7,2952.5,9094.2,3.08
Uttarakhand,Mustard,Rabi,451.1,3353.7,6267.6,1.87
Himachal Pradesh,Groundnut,Kharif,874.2,4842.5,11231.5,2.32
Karnataka,Soybean,Kharif,840.2,236.4,525.1,2.22
Assam,Groundnut,Kharif,793.2,3278.8,7708.3,2.35
Punjab,Rice,Kharif,1524.1,1461.7,8843.1,6.05
Uttarakhand,Mustard,Rabi,432.2,1097.2,2171.2,1.98
Punjab,Rice,Kharif,1494.3,215.6,1172.3,5.44
Goa,Sugarcane,Kharif,1029.2,1028.6,99514.0,96.74
Manipur,Barley,Rabi,393.3,3897.1,14189.8,3.64
Gujarat,Wheat,Rabi,729.1,604.2,2958.0,4.9
Chhattisgarh,Wheat,Rabi,585.5,2515.2,14066.2,5.59
Punjab,Soybean,Kharif,893.9,3127.5,5945.3,1.9
Punjab,Sugarcane,Kharif,1116.5,4383.4,456696.1,104.19
Sikkim,Soybean,Kharif,608.4,2742.0,5014.0,1.83
Karnataka,Soybean,Kharif,793.7,2803.3,5453.1,1.95
Arunachal Pradesh,Wheat,Rabi,798.9,1037.1,4599.9,4.44
Tripura,Maize,Kharif,615.2,4911.3,21392.6,4.36
Kerala,Rice,Kharif,1753.4,1847.4,8644.6,4.68
Uttarakhand,Rice,Kharif,1589.7,4137.1,22316.0,5.39
Goa,Soybean,Kharif,987.6,673.6,1238.4,1.84
Sikkim,Sugarcane,Kharif,1500.3,1863.0,178141.3,95.62
Odisha,Soybean,Kharif,645.0,902.0,1658.1,1.84
Mizoram,Potato,Rabi,682.4,2004.5,54275.5,27.08
Rajasthan,Sugarcane,Kharif,1680.4,4818.5,403675.3,83.78
Gujarat,Rice,Kharif,1785.0,276.2,1300.3,4.71
Assam,Cotton,Kharif,885.7,356.4,1100.4,3.09
Meghalaya,Rice,Kharif,1661.0,2591.5,13945.7,5.38
Madhya Pradesh,Wheat,Rabi,523.3,2411.3,12578.3,5.22
Meghalaya,Groundnut,Kharif,526.7,221.6,533.1,2.41
Odisha,Groundnut,Kharif,646.1,4638.3,12560.6,2.71
Uttar Pradesh,Groundnut,Kharif,870.1,2548.4,5808.7,2.28
Karnataka,Groundnut,Kharif,785.8,1748.3,4294.1,2.46
Gujarat,Barley,Rabi,325.8,2563.6,7828.5,3.05
Nagaland,Potato,Rabi,576.8,141.6,4284.3,30.25
Nagaland,Barley,Rabi,513.9,359.4,1182.3,3.29
Bihar,Sugarcane,Kharif,1669.6,3414.7,291746.4,85.44
Bihar,Cotton,Kharif,909.4,3314.4,8529.0,2.57
Tamil Nadu,Barley,Rabi,524.3,3220.4,10409.6,3.23
Maharashtra,Mustard,Rabi,381.2,2887.7,4738.6,1.64
Tripura,Maize,Kharif,971.0,2110.5,8460.4,4.01
Uttarakhand,Rice,Kharif,1158.3,1845.6,9000.6,4.88
Maharashtra,Mustard,Rabi,508.5,4554.4,7603.8,1.67
Kerala,Rice,Kharif,1301.7,4727.9,26031.7,5.51
Karnataka,Barley,Rabi,457.0,4689.2,14934.6,3.18
Karnataka,Groundnut,Kharif,847.8,1314.3,2957.0,2.25
Goa,Rice,Kharif,991.7,2558.3,12696.4,4.96
Odisha,Mustard,Rabi,334.0,2476.9,3605.6,1.46
Jharkhand,Rice,Kharif,1636.5,2823.8,13223.6,4.68
Gujarat,Groundnut,Kharif,664.8,3362.2,7806.4,2.32
Nagaland,Barley,Rabi,491.8,518.5,1717.7,3.31
West Bengal,Wheat,Rabi,714.7,2523.5,14219.2,5.63
Assam,Mustard,Rabi,380.3,535.0,908.9,1.7
Nagaland,Wheat,Rabi,562.2,1272.9,6329.4,4.97
Arunachal Pradesh,Potato,Rabi,459.9,1859.1,45549.8,24.5
Odisha,Wheat,Rabi,585.8,1598.2,9622.0,6.02
Bihar,Soybean,Kharif,757.8,4379.2,10398.5,2.37
Karnataka,Mustard,Rabi,549.2,3076.6,4844.9,1.57
Madhya Pradesh,Mustard,Rabi,562.3,3786.5,5346.2,1.41
Assam,Sugarcane,Kharif,1282.5,1557.2,143412.9,92.1
Karnataka,Maize,Kharif,536.4,4035.7,16707.8,4.14
Jharkhand,Potato,Rabi,664.7,4063.4,112366.0,27.65
Arunachal Pradesh,Rice,Kharif,1414.1,2350.8,13201.8,5.62
Mizoram,Rice,Kharif,1736.9,3341.2,15369.6,4.6
Haryana,Cotton,Kharif,749.1,161.6,472.7,2.92
Goa,Maize,Kharif,852.7,2396.1,9634.6,4.02
Meghalaya,Rice,Kharif,1698.2,184.7,1000.2,5.42
Andhra Pradesh,Wheat,Rabi,732.5,1195.7,6016.1,5.03
Tripura,Potato,Rabi,537.8,118.8,3251.0,27.37
Uttarakhand,Mustard,Rabi,581.5,654.9,896.4,1.37
West Bengal,Maize,Kharif,930.9,2833.6,10762.1,3.8
Himachal Pradesh,Groundnut,Kharif,534.6,2303.0,4174.9,1.81
Himachal Pradesh,Soybean,Kharif,828.9,882.8,2112.3,2.39
Goa,Sugarcane,Kharif,1013.7,4538.2,439039.5,96.74
Maharashtra,Cotton,Kharif,616.1,4363.1,13027.7,2.99
Meghalaya,Soybean,Kharif,841.4,868.9,2011.6,2.32
Chhattisgarh,Wheat,Rabi,655.9,3034.5,15677.2,5.17
West Bengal,Cotton,Kharif,937.4,4045.0,11013.2,2.72
Meghalaya,Rice,Kharif,1395.5,1652.9,9613.1,5.82
Meghalaya,Rice,Kharif,1129.2,1020.8,5741.4,5.62
Mizoram,Rice,Kharif,988.8,2723.5,12721.2,4.67
Mizoram,Barley,Rabi,427.9,1650.7,5697.3,3.45
Chhattisgarh,Soybean,Kharif,620.8,741.3,1160.6,1.57
Bihar,Cotton,Kharif,966.3,3577.9,10052.2,2.81
Tamil Nadu,Potato,Rabi,772.9,393.6,10603.5,26.94
Jharkhand,Rice,Kharif,1264.5,536.1,3243.7,6.05
Rajasthan,Mustard,Rabi,580.5,3385.2,4735.3,1.4
Karnataka,Cotton,Kharif,792.8,3624.1,10961.5,3.02
Arunachal Pradesh,Potato,Rabi,605.8,2586.8,73672.3,28.48
Goa,Cotton,Kharif,613.4,4551.2,14232.4,3.13
Odisha,Rice,Kharif,996.5,1208.1,5580.8,4.62
Tripura,Maize,Kharif,907.3,1083.1,4307.0,3.98
Manipur,Barley,Rabi,353.9,506.3,1633.3,3.23
Rajasthan,Soybean,Kharif,731.4,2443.6,5014.4,2.05
Goa,Soybean,Kharif,907.5,1676.3,3146.8,1.88
Assam,Potato,Rabi,402.0,620.8,17180.6,27.68
Mizoram,Maize,Kharif,755.0,4491.6,19942.1,4.44
Uttar Pradesh,Mustard,Rabi,301.1,2166.7,2693.5,1.24
Odisha,Mustard,Rabi,311.3,4272.3,6547.9,1.53
Rajasthan,Sugarcane,Kharif,764.0,3277.4,297676.2,90.83
Maharashtra,Cotton,Kharif,689.7,4678.6,14728.8,3.15
Meghalaya,Sugarcane,Kharif,1635.6,2792.2,273311.6,97.88
Himachal Pradesh,Cotton,Kharif,824.6,558.2,1656.8,2.97
West Bengal,Potato,Rabi,451.5,2428.3,73492.5,30.26
Uttar Pradesh,Sugarcane,Kharif,1121.0,2734.6,276487.7,101.11
Meghalaya,Cotton,Kharif,536.2,4423.0,9975.8,2.26
Madhya Pradesh,Wheat,Rabi,535.0,4449.0,25205.6,5.67
Maharashtra,Sugarcane,Kharif,1022.1,2593.8,227902.9,87.86
Sikkim,Rice,Kharif,1772.1,3487.4,17345.6,4.97
Andhra Pradesh,Groundnut,Kharif,545.0,2927.6,5830.2,1.99
Maharashtra,Mustard,Rabi,555.0,1832.5,2727.3,1.49
Telangana,Barley,Rabi,501.7,3633.5,12048.3,3.32
Tripura,Barley,Rabi,552.8,871.1,2519.1,2.89
Meghalaya,Cotton,Kharif,901.1,3500.0,8571.0,2.45
Sikkim,Cotton,Kharif,789.9,3145.4,9691.2,3.08
Uttarakhand,Barley,Rabi,356.0,3857.2,13447.8,3.49
Tripura,Mustard,Rabi,413.0,4048.9,7108.2,1.76
Gujarat,Potato,Rabi,476.6,4341.7,118201.7,27.23
Himachal Pradesh,Maize,Kharif,947.1,4307.9,15316.3,3.56
Madhya Pradesh,Mustard,Rabi,420.5,3690.2,6083.2,1.65
Bihar,Rice,Kharif,902.6,3217.1,12348.8,3.84
Madhya Pradesh,Wheat,Rabi,798.9,4328.5,18004.6,4.16
Tripura,Sugarcane,Kharif,1134.3,199.7,19936.3,99.85
Andhra Pradesh,Rice,Kharif,1338.4,2683.6,15858.7,5.91
Assam,Maize,Kharif,741.9,1310.1,5908.1,4.51
Andhra Pradesh,Potato,Rabi,764.3,2649.1,76113.9,28.73
Kerala,Mustard,Rabi,435.0,4630.0,7704.2,1.66
Tamil Nadu,Rice,Kharif,912.1,4867.5,18892.2,3.88
Rajasthan,Potato,Rabi,722.2,1363.3,33622.8,24.66
Punjab,Wheat,Rabi,676.8,3304.6,15748.9,4.77
Uttarakhand,Soybean,Kharif,723.9,1847.9,3438.3,1.86
Chhattisgarh,Wheat,Rabi,679.0,4841.9,24848.6,5.13
Kerala,Sugarcane,Kharif,1798.1,2481.6,221842.2,89.39
Himachal Pradesh,Potato,Rabi,611.2,3647.5,119535.1,32.77
Chhattisgarh,Groundnut,Kharif,542.0,1624.1,3669.5,2.26
Manipur,Barley,Rabi,303.2,655.0,1900.4,2.9
Madhya Pradesh,Mustard,Rabi,460.2,445.3,863.3,1.94
Mizoram,Barley,Rabi,397.4,1485.1,5274.5,3.55
Uttar Pradesh,Mustard,Rabi,501.4,4347.6,7296.0,1.68
Himachal Pradesh,Groundnut,Kharif,794.5,3315.4,8313.9,2.51
Rajasthan,Cotton,Kharif,523.2,2577.7,6655.9,2.58
Rajasthan,Rice,Kharif,1175.6,1272.4,7045.1,5.54
Rajasthan,Soybean,Kharif,928.2,3681.5,6971.4,1.89
Himachal Pradesh,Sugarcane,Kharif,1510.8,4336.3,355306.1,81.94
Tamil Nadu,Maize,Kharif,855.6,1385.8,5312.0,3.83
Telangana,Maize,Kharif,689.2,574.4,2765.1,4.81
Uttar Pradesh,Mustard,Rabi,436.8,2478.9,4299.4,1.73
Tripura,Maize,Kharif,796.3,2559.5,10887.8,4.25
Uttar Pradesh,Mustard,Rabi,468.0,4082.4,7059.0,1.73
Tamil Nadu,Cotton,Kharif,565.5,4669.0,12986.9,2.78
Nagaland,Maize,Kharif,684.5,4676.5,18412.2,3.94
Chhattisgarh,Groundnut,Kharif,675.4,2159.6,5719.6,2.65
Gujarat,Mustard,Rabi,570.8,626.3,1032.8,1.65
Mizoram,Cotton,Kharif,505.7,4869.6,11779.5,2.42
Madhya Pradesh,Potato,Rabi,758.0,145.6,4265.1,29.29
Gujarat,Potato,Rabi,617.6,2419.8,70552.6,29.16
Assam,Soybean,Kharif,947.5,4537.4,9277.9,2.04
Gujarat,Cotton,Kharif,766.0,330.6,933.2,2.82
Uttarakhand,Groundnut,Kharif,845.1,4580.3,9306.4,2.03
Nagaland,Soybean,Kharif,851.4,1344.8,2854.9,2.12
Telangana,Potato,Rabi,688.1,3382.8,94432.9,27.92
Madhya Pradesh,Soybean,Kharif,922.4,1038.3,1818.2,1.75
Nagaland,Cotton,Kharif,742.4,3243.7,9422.0,2.9
Gujarat,Potato,Rabi,572.1,1577.1,51300.2,32.53
West Bengal,Rice,Kharif,1793.3,4141.7,19166.1,4.63
Tripura,Rice,Kharif,1734.9,2818.6,14925.6,5.3
Kerala,Sugarcane,Kharif,1758.1,2979.7,249116.4,83.61
Assam,Rice,Kharif,1487.9,4834.5,24731.0,5.12
Himachal Pradesh,Mustard,Rabi,489.1,452.7,789.9,1.74
Nagaland,Maize,Kharif,857.0,2071.7,8646.2,4.17
Chhattisgarh,Potato,Rabi,610.6,4947.8,139596.3,28.21
Sikkim,Wheat,Rabi,605.0,1305.4,7897.7,6.05
Mizoram,Barley,Rabi,420.8,3341.8,10930.1,3.27
Uttarakhand,Barley,Rabi,356.5,495.5,1439.3,2.9
Rajasthan,Potato,Rabi,713.4,4165.5,128528.1,30.86
Tamil Nadu,Rice,Kharif,1361.3,2329.3,11771.3,5.05
Sikkim,Sugarcane,Kharif,1477.3,2531.8,256621.6,101.36
Meghalaya,Sugarcane,Kharif,885.3,4926.2,459235.1,93.22
Madhya Pradesh,Potato,Rabi,478.8,2749.0,82457.5,30.0
Chhattisgarh,Wheat,Rabi,618.0,2516.9,13966.0,5.55
Madhya Pradesh,Wheat,Rabi,631.7,1388.8,6980.7,5.03
Telangana,Maize,Kharif,681.4,3448.8,14098.7,4.09
Odisha,Soybean,Kharif,669.9,1694.5,3883.7,2.29
Andhra Pradesh,Rice,Kharif,1213.7,492.4,2825.8,5.74
Meghalaya,Sugarcane,Kharif,767.8,1324.5,102210.3,77.17
Nagaland,Rice,Kharif,1521.6,2082.1,11419.7,5.48
Chhattisgarh,Cotton,Kharif,756.6,538.6,1593.2,2.96
Bihar,Groundnut,Kharif,642.3,1593.7,3892.6,2.44
Punjab,Wheat,Rabi,752.4,3119.6,14384.4,4.61
Manipur,Sugarcane,Kharif,906.8,827.6,75838.7,91.64
Rajasthan,Cotton,Kharif,763.6,998.7,3091.8,3.1
Uttar Pradesh,Rice,Kharif,1707.1,1214.9,5491.9,4.52
Andhra Pradesh,Cotton,Kharif,563.7,3568.9,9263.3,2.6
Rajasthan,Barley,Rabi,376.8,669.7,2355.4,3.52
Rajasthan,Potato,Rabi,574.9,4994.6,143937.8,28.82
West Bengal,Maize,Kharif,702.4,1359.8,5702.0,4.19
Mizoram,Soybean,Kharif,746.9,1979.3,4538.9,2.29
Mizoram,Groundnut,Kharif,833.2,1527.9,3439.3,2.25
Chhattisgarh,Soybean,Kharif,723.4,4283.9,8410.8,1.96
Telangana,Potato,Rabi,617.7,566.0,15187.1,26.83
Punjab,Wheat,Rabi,703.9,4400.8,20231.3,4.6
Telangana,Sugarcane,Kharif,1753.6,4673.3,427629.6,91.5
Sikkim,Groundnut,Kharif,727.8,3376.9,9046.1,2.68
Punjab,Cotton,Kharif,916.4,735.9,1819.4,2.47
Arunachal Pradesh,Potato,Rabi,778.6,4659.2,119286.5,25.6
Punjab,Sugarcane,Kharif,1243.2,3871.2,398496.4,102.94
Nagaland,Cotton,Kharif,774.6,3633.7,11346.1,3.12
Jharkhand,Maize,Kharif,979.6,3968.0,16711.5,4.21
Arunachal Pradesh,Rice,Kharif,1146.6,1982.4,10860.1,5.48
Tripura,Soybean,Kharif,800.1,3536.3,8312.4,2.35
Gujarat,Cotton,Kharif,913.4,3881.7,11457.9,2.95
Punjab,Potato,Rabi,699.4,2349.0,73668.6,31.36
Tripura,Soybean,Kharif,976.7,2552.8,4706.3,1.84
Haryana,Rice,Kharif,1467.5,1024.3,5361.5,5.23
Madhya Pradesh,Cotton,Kharif,764.3,655.6,2151.7,3.28
Andhra Pradesh,Groundnut,Kharif,657.0,4178.0,10233.3,2.45
Tripura,Soybean,Kharif,893.3,3562.9,6687.0,1.88
Meghalaya,Cotton,Kharif,790.4,4591.6,14548.1,3.17
Punjab,Rice,Kharif,1504.6,2145.5,11693.1,5.45
Nagaland,Rice,Kharif,966.8,4216.0,18445.1,4.38
Uttarakhand,Wheat,Rabi,799.2,1233.4,5903.7,4.79
Uttar Pradesh,Sugarcane,Kharif,1035.0,3954.0,344272.1,87.07
Andhra Pradesh,Wheat,Rabi,744.2,4048.2,21874.2,5.4
Maharashtra,Sugarcane,Kharif,896.7,2046.2,199087.1,97.3
Uttarakhand,Cotton,Kharif,819.3,552.1,1470.7,2.66
Assam,Maize,Kharif,673.6,1927.1,8650.2,4.49
Himachal Pradesh,Barley,Rabi,421.8,2683.9,8331.3,3.1
Maharashtra,Maize,Kharif,918.9,4618.0,20415.7,4.42
Nagaland,Groundnut,Kharif,722.8,3804.2,10102.6,2.66
Mizoram,Groundnut,Kharif,548.0,3458.7,7318.0,2.12
Telangana,Wheat,Rabi,501.6,3791.2,16960.0,4.47
Bihar,Sugarcane,Kharif,1436.3,3247.2,304137.8,93.66
Gujarat,Groundnut,Kharif,748.6,1459.4,3635.1,2.49
Meghalaya,Sugarcane,Kharif,1462.1,1777.4,178954.9,100.68
Madhya Pradesh,Mustard,Rabi,458.3,4827.0,9044.7,1.87
Madhya Pradesh,Rice,Kharif,948.1,2696.4,13874.8,5.15
Assam,Mustard,Rabi,521.9,3142.0,5212.6,1.66
Haryana,Rice,Kharif,1412.6,793.5,4541.5,5.72
Assam,Cotton,Kharif,791.2,4498.1,12586.5,2.8
Andhra Pradesh,Cotton,Kharif,855.6,264.4,681.6,2.58
Tamil Nadu,Mustard,Rabi,314.7,2733.2,3743.1,1.37
Himachal Pradesh,Sugarcane,Kharif,1059.4,1469.4,135230.8,92.03
Jharkhand,Sugarcane,Kharif,859.0,368.0,33714.5,91.63
West Bengal,Maize,Kharif,588.7,2878.5,10362.7,3.6
Arunachal Pradesh,Mustard,Rabi,316.4,4051.8,5798.6,1.43
Sikkim,Cotton,Kharif,979.8,1773.7,4436.0,2.5
Goa,Sugarcane,Kharif,1706.1,3058.4,237393.3,77.62
Chhattisgarh,Mustard,Rabi,520.8,2370.6,3853.6,1.63
Himachal Pradesh,Wheat,Rabi,509.9,875.6,4718.6,5.39
Himachal Pradesh,Cotton,Kharif,564.1,1311.3,3238.9,2.47
Maharashtra,Soybean,Kharif,984.6,496.7,886.9,1.79
Madhya Pradesh,Groundnut,Kharif,874.5,4914.6,11076.3,2.25
Nagaland,Soybean,Kharif,751.2,3573.0,6999.8,1.96
Andhra Pradesh,Sugarcane,Kharif,1067.6,1771.1,151260.4,85.4
Gujarat,Maize,Kharif,718.7,3228.4,15518.4,4.81
Manipur,Mustard,Rabi,388.1,4276.9,7344.5,1.72
Madhya Pradesh,Sugarcane,Kharif,1339.6,3296.1,313328.6,95.06
Punjab,Barley,Rabi,300.2,906.2,2683.4,2.96
Kerala,Groundnut,Kharif,605.4,624.3,1281.8,2.05
West Bengal,Wheat,Rabi,539.9,1193.1,5442.6,4.56
Mizoram,Maize,Kharif,551.7,1342.1,5147.6,3.84
Andhra Pradesh,Groundnut,Kharif,862.4,1836.7,3782.0,2.06
Mizoram,Wheat,Rabi,594.1,4726.1,27852.2,5.89
Kerala,Barley,Rabi,417.7,715.1,2408.5,3.37
Bihar,Soybean,Kharif,950.6,3490.1,6486.6,1.86
Mizoram,Barley,Rabi,470.5,429.5,1442.1,3.36
Arunachal Pradesh,Mustard,Rabi,546.2,680.5,1129.3,1.66
Bihar,Barley,Rabi,391.0,3972.3,14416.3,3.63
Haryana,Maize,Kharif,747.8,768.2,3281.6,4.27
Karnataka,Groundnut,Kharif,522.1,145.1,272.5,1.88
Kerala,Barley,Rabi,394.9,1853.4,6901.6,3.72
Gujarat,Wheat,Rabi,743.7,4706.9,20041.6,4.26
Assam,Rice,Kharif,1382.0,3271.4,17702.5,5.41
Punjab,Soybean,Kharif,621.6,2793.1,5176.7,1.85
West Bengal,Maize,Kharif,552.3,1651.4,6848.7,4.15
Meghalaya,Rice,Kharif,1353.2,2263.5,12996.1,5.74
Sikkim,Maize,Kharif,924.4,4436.1,17932.4,4.04
Jharkhand,Rice,Kharif,1099.0,4035.4,19455.8,4.82
Kerala,Rice,Kharif,1792.9,2511.9,10049.8,4.0
Karnataka,Mustard,Rabi,423.9,341.6,634.6,1.86
Andhra Pradesh,Rice,Kharif,1120.3,3589.2,20128.7,5.61
Sikkim,Cotton,Kharif,658.0,3204.0,8615.8,2.69
Nagaland,Sugarcane,Kharif,1549.8,3023.9,253270.2,83.75
Telangana,Soybean,Kharif,778.0,1821.8,3688.9,2.02
Goa,Mustard,Rabi,409.1,3162.2,5627.9,1.78
Maharashtra,Potato,Rabi,772.8,4756.0,115095.7,24.2
Gujarat,Potato,Rabi,641.2,3379.8,89919.2,26.6
West Bengal,Groundnut,Kharif,560.1,4406.5,8904.1,2.02
Telangana,Cotton,Kharif,991.0,4685.5,12573.4,2.68
Chhattisgarh,Maize,Kharif,629.6,275.9,1082.7,3.92
Gujarat,Rice,Kharif,1729.6,1081.7,5502.2,5.09
Assam,Mustard,Rabi,392.9,1683.0,2977.5,1.77
Assam,Soybean,Kharif,863.9,3082.1,6113.2,1.98
Nagaland,Barley,Rabi,588.3,1371.8,4086.3,2.98
Tamil Nadu,Barley,Rabi,511.6,4956.2,17162.5,3.46
Telangana,Barley,Rabi,421.4,4123.3,12366.1,3.0
Arunachal Pradesh,Mustard,Rabi,502.2,2054.2,3281.1,1.6
Kerala,Soybean,Kharif,760.6,4036.0,8466.5,2.1
Sikkim,Potato,Rabi,689.2,2986.9,78358.8,26.23
Himachal Pradesh,Cotton,Kharif,872.6,152.3,386.4,2.54
Haryana,Groundnut,Kharif,822.4,635.5,1342.8,2.11
Rajasthan,Maize,Kharif,635.7,1797.7,8475.2,4.71
Kerala,Groundnut,Kharif,891.9,3566.9,6526.5,1.83
Assam,Rice,Kharif,1683.2,723.8,3197.1,4.42
Tripura,Barley,Rabi,588.1,1747.9,5193.0,2.97
Bihar,Sugarcane,Kharif,1228.7,3195.7,313788.9,98.19
Punjab,Cotton,Kharif,974.3,2300.7,4863.9,2.11
Uttar Pradesh,Groundnut,Kharif,674.2,3690.3,8945.4,2.42
Tamil Nadu,Barley,Rabi,375.0,2481.7,8019.4,3.23
Tamil Nadu,Rice,Kharif,1599.9,4475.5,24842.8,5.55
Bihar,Maize,Kharif,975.3,2970.7,11679.8,3.93
Goa,Potato,Rabi,612.9,506.9,16727.4,33.0
West Bengal,Rice,Kharif,1122.8,4776.5,26221.1,5.49
West Bengal,Groundnut,Kharif,884.9,1067.6,2213.1,2.07
Uttar Pradesh,Sugarcane,Kharif,1453.3,3727.5,301958.0,81.01
Himachal Pradesh,Maize,Kharif,585.9,1520.9,6193.4,4.07
Rajasthan,Sugarcane,Kharif,829.7,3914.0,346253.9,88.46
Arunachal Pradesh,Soybean,Kharif,988.4,3439.2,5912.7,1.72
Chhattisgarh,Cotton,Kharif,807.9,2135.9,6757.3,3.16
Odisha,Potato,Rabi,549.6,208.8,6813.7,32.63
Uttarakhand,Mustard,Rabi,534.4,1064.1,1741.0,1.64
Uttarakhand,Mustard,Rabi,512.0,4362.7,7281.0,1.67
Goa,Sugarcane,Kharif,1228.1,547.1,52067.8,95.16
Sikkim,Groundnut,Kharif,822.3,4934.8,10186.8,2.06
Andhra Pradesh,Cotton,Kharif,825.4,4557.7,12624.7,2.77
Andhra Pradesh,Mustard,Rabi,359.4,376.4,541.6,1.44
Manipur,Groundnut,Kharif,617.9,4955.8,10236.3,2.07
Telangana,Groundnut,Kharif,581.9,1718.5,3650.7,2.12
West Bengal,Soybean,Kharif,758.0,1651.8,3398.8,2.06
Telangana,Mustard,Rabi,470.1,113.9,206.8,1.82
Andhra Pradesh,Wheat,Rabi,488.8,4739.5,21999.3,4.64
Tripura,Wheat,Rabi,756.2,4906.8,26378.5,5.38
Meghalaya,Sugarcane,Kharif,1687.9,3474.4,307861.5,88.61
Manipur,Sugarcane,Kharif,1506.7,1043.6,103325.6,99.0
Gujarat,Maize,Kharif,670.9,3831.1,15627.1,4.08
Uttarakhand,Soybean,Kharif,601.8,2681.1,4375.7,1.63
Rajasthan,Sugarcane,Kharif,811.9,2321.0,180924.5,77.95
Manipur,Sugarcane,Kharif,1095.9,298.9,29529.8,98.79
Assam,Cotton,Kharif,895.4,1311.3,3781.4,2.88
Uttar Pradesh,Mustard,Rabi,354.2,1705.5,2563.3,1.5
Rajasthan,Mustard,Rabi,449.3,3063.5,5603.1,1.83
Chhattisgarh,Barley,Rabi,508.8,629.0,1954.5,3.11
Gujarat,Potato,Rabi,754.3,978.6,27057.4,27.65
Telangana,Barley,Rabi,307.5,4070.8,11843.0,2.91
Odisha,Potato,Rabi,668.9,3944.2,121412.0,30.78
Telangana,Sugarcane,Kharif,1273.0,4167.9,416272.2,99.87
Haryana,Soybean,Kharif,611.3,3572.5,6579.5,1.84
Manipur,Sugarcane,Kharif,744.4,975.3,75946.0,77.87
Odisha,Maize,Kharif,754.3,1563.5,6753.0,4.32
Tamil Nadu,Barley,Rabi,524.0,2525.4,9351.8,3.7
Gujarat,Barley,Rabi,508.9,4144.0,12734.1,3.07
Meghalaya,Mustard,Rabi,570.9,2376.5,3928.3,1.65
Goa,Sugarcane,Kharif,1583.4,4710.7,410813.7,87.21
Karnataka,Rice,Kharif,1316.4,4125.7,24939.8,6.04
Kerala,Groundnut,Kharif,505.0,4187.3,9190.9,2.19
Jharkhand,Rice,Kharif,1077.6,1481.5,7139.2,4.82
Rajasthan,Soybean,Kharif,811.1,150.7,364.7,2.42
Chhattisgarh,Sugarcane,Kharif,1474.3,4842.5,470272.9,97.11
Mizoram,Groundnut,Kharif,545.2,3743.4,6925.9,1.85
Assam,Wheat,Rabi,585.8,1211.5,5882.5,4.86
Assam,Groundnut,Kharif,669.4,4277.4,10791.5,2.52
West Bengal,Soybean,Kharif,990.2,3015.7,4859.4,1.61
Odisha,Groundnut,Kharif,806.7,416.2,1057.3,2.54
Bihar,Soybean,Kharif,743.1,4055.3,8375.7,2.07
Chhattisgarh,Sugarcane,Kharif,1048.7,4179.2,417154.1,99.82
Goa,Groundnut,Kharif,669.6,107.8,246.3,2.29
Uttarakhand,Rice,Kharif,1209.7,4780.7,28923.2,6.05
West Bengal,Mustard,Rabi,471.2,834.3,1615.2,1.94
Chhattisgarh,Cotton,Kharif,626.8,4930.7,12727.5,2.58
Meghalaya,Rice,Kharif,927.3,326.7,1540.5,4.72
Tripura,Mustard,Rabi,449.2,3665.8,6380.1,1.74
Punjab,Sugarcane,Kharif,758.4,1374.3,112991.6,82.22
Kerala,Rice,Kharif,1408.6,3400.2,20333.0,5.98
Telangana,Rice,Kharif,1525.3,4730.4,24543.8,5.19
Telangana,Barley,Rabi,359.3,3459.5,12164.9,3.52
Haryana,Rice,Kharif,1379.4,4771.3,26630.6,5.58
Rajasthan,Groundnut,Kharif,623.5,2660.6,6721.9,2.53
Uttar Pradesh,Sugarcane,Kharif,871.2,2501.0,217621.4,87.01
West Bengal,Barley,Rabi,425.9,4711.6,15694.8,3.33
Uttarakhand,Rice,Kharif,1780.2,2822.5,14226.3,5.04
Gujarat,Rice,Kharif,1184.5,4863.9,24781.9,5.1
Uttarakhand,Soybean,Kharif,600.2,4588.1,7723.6,1.68
Mizoram,Sugarcane,Kharif,1672.5,2468.6,208237.9,84.35
Assam,Cotton,Kharif,678.2,2496.8,6536.9,2.62
Tamil Nadu,Sugarcane,Kharif,1427.5,2696.5,235921.5,87.49
Rajasthan,Sugarcane,Kharif,1398.7,188.4,19352.0,102.74
Mizoram,Barley,Rabi,473.1,4783.8,15040.6,3.14
Arunachal Pradesh,Rice,Kharif,1427.3,4040.9,22582.9,5.59
Karnataka,Mustard,Rabi,419.4,2001.8,3530.6,1.76
Kerala,Rice,Kharif,1271.9,3429.8,18795.5,5.48
Manipur,Potato,Rabi,637.5,4497.4,141586.9,31.48
Rajasthan,Barley,Rabi,564.6,2756.0,8441.4,3.06
Jharkhand,Cotton,Kharif,950.0,2000.0,4942.9,2.47
Bihar,Wheat,Rabi,548.2,1413.3,8059.8,5.7
